NORTH CAROLINA   (click below for FL)    -  Early voting / ballot drop off locations             ,,,
This data is from the North Carolina State Board of Elections' statewide list:   https://vt.ncsbe.gov/ossite/GetStatewideList/,,,
"Early-Voting 10/15-10/31. Often M-F 8am-7:30pm, Sat 8-5, Sun 1-5 or closed. But check statewide list for exact times.",,,
County,City,Location,Address
MECKLENBURG,CHARLOTTE,RENAISSANCE WEST STEAM ACADEMY,3241 NEW RENAISSANCE WAY
MECKLENBURG,CHARLOTTE,SOUTH MECKLENBURG HIGH SCHOOL,8900 PARK RD
MECKLENBURG,CHARLOTTE,SOUTHPARK AREA,SOUTHPARK AREA TBD
MECKLENBURG,CHARLOTTE,SOUTHWEST MIDDLE SCHOOL,13624 STEELE CREEK RD
MECKLENBURG,CHARLOTTE,SPECTRUM CENTER,333 E TRADE ST
MECKLENBURG,CHARLOTTE,UNC CHARLOTTE,8911 UNIVERSITY RD
MECKLENBURG,CHARLOTTE,UNIVERSITY AREA,8802 JW CLAY BLVD
MECKLENBURG,CHARLOTTE,WEST BOULEVARD LIBRARY,2157 WEST BLVD
MECKLENBURG,CHARLOTTE,WEST CHARLOTTE HIGH SCHOOL,2219 SENIOR DR
MITCHELL,BAKERSVILLE,MITCHELL COUNTY BOARD OF ELECTIONS OFFICE,11 N MITCHELL AVE # 108
MITCHELL,SPRUCE PINE,SPRUCE PINE FIRE DE3PARTMENT,100 FIRE FIGHTER WAY
MONTGOMERY,BISCOE,BISCOE TOWN HALL,110 W MAIN ST
MONTGOMERY,MT GILEAD,HIGHLAND COMMUNITY CENTER,131 HOFFMAN DR
MONTGOMERY,TROY,TROY PUBLIC LIBRARY (COMMUNITY ROOM),215 W MAIN ST
MOORE,ABERDEEN,ABERDEEN RECREATION STATION,301 LAKE PARK XING
MOORE,CARTHAGE,AGRICULTURAL CENTER,707 PINEHURST AVE
MOORE,PINEHURST,PINEHURST COMMUNITY CENTER,210 RATTLESNAKE TRL
MOORE,VASS,VASS TOWN HALL,140 S ALMA ST
NASH,NASHVILLE,BOARD OF ELECTIONS AUDITORIUM,1006 EASTERN AVE
NASH,BAILEY,MT PLEASANT COMMUNITY BUILDING,7637 HARRIS RD
NASH,ROCKY MOUNT,OLD GATEWAY PARTNERSHIP BUILDING,427 FALLS RD
NASH,ROCKY MOUNT,OLD TRADE-IT BUILDING,1150 N WESLEYAN BLVD
NEW HANOVER,CAROLINA BEACH,CAROLINA BEACH COMMUNITY CENTER,300 CAPE FEAR BLVD
NEW HANOVER,CASTLE HAYNE,CFCC- NORTH CAMPUS,4500 BLUE CLAY RD
NEW HANOVER,WILMINGTON,MOOSE LODGE,4610 CAROLINA BEACH RD
NEW HANOVER,WILMINGTON,NEW HANOVER COUNTY ARBORETUM,6206 OLEANDER DR
NEW HANOVER,WILMINGTON,NEW HANOVER COUNTY BOARD OF ELECTIONS OFFICE,230 GOVERNMENT CENTER DR # 34
NEW HANOVER,WILMINGTON,NORTHEAST LIBRARY,1241 MILITARY CUTOFF RD
NEW HANOVER,WILMINGTON,PINE VALLEY LIBRARY,3802 COLLEGE RD
NEW HANOVER,WILMINGTON,SENIOR CTR,2222 S COLLEGE RD
NEW HANOVER,WILMINGTON,WILMA W. DANIELS ART GALLERY AT CFCC,200 HANOVER ST
NORTHAMPTON,GASTON,COOL SPRING COMMUNITY CENTER,101 CHERRY ST
NORTHAMPTON,RICH SQUARE,CREECY GYMNASIUM,210 ROBERT RD
NORTHAMPTON,SEVERN,MEHERRIN CULTURAL ARTS CENTER,8900 NC HWY 35
NORTHAMPTON,JACKSON,NORTHAMPTON CO. CULTURAL & WELLNESS CENTER,9536 NC HWY 305
ONSLOW,JACKSONVILLE,COMMONS REC CENTER,100 RECREATION CIR
ONSLOW,JACKSONVILLE,ONSLOW COUNTY BOARD OF ELECTIONS OFFICE,246 GEORGETOWN RD
ONSLOW,RICHLANDS,ONSLOW COUNTY MUSEUM (RICHLANDS),301 S WILMINGTON ST
ONSLOW,SNEADS FERRY,SNEADS FERRY PRESBYTERIAN CHURCH,776 NC HWY 210
ONSLOW,SWANSBORO,SWANSBORO ROTARY CENTER,1104 MAIN ST EXT
ORANGE,CARRBORO,CARRBORO TOWN HALL,301 W MAIN ST
ORANGE,CHAPEL HILL,CHAPEL OF THE CROSS,304 E FRANKLIN ST
ORANGE,HILLSBOROUGH,DSS ORANGE WORKS IN LIEU OF BOE OFFICE,113 MAYO ST
ORANGE,EFLAND,EFLAND RURITAN CLUB BUILDING,3009 FORREST AVE
ORANGE,CHAPEL HILL,SEYMOUR CENTER,2551 HOMESTEAD RD
ORANGE,CHAPEL HILL,UNIVERSITY MALL,201 S ESTES DR # D14
PAMLICO,BAYBORO,PAMLICO COUNTY BOARD OF ELECTIONS OFFICE,202 MAIN ST
PASQUOTANK,ELIZABETH CITY,K.E. WHITE GRADUATE CENTER,1704 WEEKSVILLE RD
PENDER,HAMPSTEAD,CAPE FEAR COMMUNITY COLLEGE,621 NC HWY 210 E
PENDER,BURGAW,COOPERATIVE EXTENSION AUDITORIUM,801 S WALKER ST
PENDER,ROCKY POINT,LONG CREEK VOLUNTEER FIRE DEPARTMENT,227 SCOTT RD
PENDER,HAMPSTEAD,PENDER COUNTY ANNEX BUILDING,15060 US HWY 17
PENDER,WATHA,SHILOH VOLUNTEER FIRE DEPARTMENT,19170 US HWY 421
PERQUIMANS,HERTFORD,BETHEL RURITAN BUILDING,392 SNUG HARBOR RD
PERQUIMANS,HERTFORD,DURANTS NECK RURITAN BUILDING,2151 NEW HOPE RD
PERQUIMANS,HERTFORD,PERQUIMANS COUNTY BOARD OF ELECTIONS OFFICE,601 S EDENTON ROAD RD # A
PERSON,ROXBORO,HUCK SANSBURY GYM IN LIEU OF BOARD OF ELECTIONS OFFICE,425 LONG AVE
PERSON,ROXBORO,PERSON COUNTY OFFICE BUILDING AUDITORIUM,304 S MORGAN ST
PITT,GREENVILLE,AG CENTER,403 GOVERNMENT CIR
PITT,GREENVILLE,COMMUNITY SCHOOLS BUILDING,4561 COUNTY HOME RD
PITT,GREENVILLE,ECU STUDENT CENTER,501 E 10TH ST
PITT,GREENVILLE,EPPES RECREATION CENTER,400 NASH ST
PITT,FARMVILLE,FARMVILLE COMMUNITY CENTER,3886 S MAIN ST
PITT,GREENVILLE,"WILLIS BUILDING, ECU",300 E 1ST ST
PITT,WINTERVILLE,WINTERVILLE FIRE STATION,2593 RAILROAD ST
POLK,COLUMBUS,POLK COUNTY BOARD OF ELECTIONS OFFICE,40 COURTHOUSE ST
RANDOLPH,ARCHDALE,ARCHDALE COMMUNITY SERVICES BUILDING,213 BALFOUR DR
RANDOLPH,FRANKLINVILLE,FRANKLINVILLE UNITED METHODIST CHURCH,227 W MAIN ST
RANDOLPH,RANDLEMAN,RANDLEMAN CIVIC CENTER,122 COMMERCE SQ
RANDOLPH,ASHEBORO,RANDOLPH COUNTY BOARD OF ELECTIONS OFFICE,1457 N FAYETTEVILLE ST
RICHMOND,ROCKINGHAM,"CITY OF ROCKINGHAM PARKS AND RECREATION, BROWDER PARK",1311 ROCKINGHAM RD
RICHMOND,ROCKINGHAM,COOPERATIVE EXTENSION OFFICE,123 CAROLINE ST
RICHMOND,HAMLET,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,200 RICE ST
RICHMOND,ELLERBE,FIRST UNITED METHODIST CHURCH FELLOWSHIP HALL,2281 N MAIN ST
ROBESON,FAIRMONT,FAIRMONT FIRE HALL/SENIOR CITIZEN CENTER,421 S MAIN ST
ROBESON,MAXTON,GILBERT PATTERSON LIBRARY,210 N FLORENCE ST
ROBESON,LUMBERTON,LUMBERTON SITE,801 N PINE ST
ROBESON,PEMBROKE,PEMBROKE FIRE DEPARTMENT,102 4TH ST
ROBESON,PEMBROKE,PEMBROKE LIBRARY,413 BLAINE ST
ROBESON,RED SPRINGS,RED SPRINGS COMMUNITY CENTER,122 CROSS ST
ROBESON,ST PAULS,ST. PAULS NATIONAL GUARD ARMORY,705 N OLD STAGE RD
ROCKINGHAM,EDEN,EDEN LIBRARY,598 S PIERCE ST
ROCKINGHAM,MADISON,MADISON MAYODAN LIBRARY,611 BURTON ST
ROCKINGHAM,REIDSVILLE,ROCKINGHAM COUNTY BOARD OF ELECTIONS OFFICE,240 CHEROKEE CAMP RD # 1
ROCKINGHAM,REIDSVILLE,SALVATION ARMY COMMUNITY CENTER,708 BARNES ST
ROWAN,CLEVELAND,CLEVELAND TOWN HALL,302 E MAIN ST
ROWAN,ROCKWELL,ROCKWELL AMERICAN LEGION BUILDING,8580 US HWY 52
ROWAN,SALISBURY,ROWAN COUNTY BOARD OF ELECTIONS OFFICE,1935 JAKE ALEXANDER BLVD W # D10
ROWAN,CHINA GROVE,SOUTH BRANCH ROWAN PUBLIC LIBRARY,920 KIMBALL RD
ROWAN,SPENCER,SPENCER MUNICIPAL BUILDING,600 S SALISBURY AVE
RUTHERFORD,RUTHERFORDTON,ANNEX ONE-STOP,289 N MAIN ST
RUTHERFORD,SPINDALE,SPINDALE HOUSE,119 TANNER ST
SAMPSON,HARRELLS,HARRELLS FIRE DEPT TRAINING CTR,915 WARD RD
SAMPSON,SALEMBURG,NC JUSTICE ACADEMY,200 W COLLEGE ST
SAMPSON,NEWTON GROVE,NEWTON GROVE FIRE STATION,313 WEEKSDALE ST
SAMPSON,CLINTON,OLD BADCOCK BUILDING,409 SOUTHEAST BLVD
SAMPSON,DUNN,PLAINVIEW FIRE STATION,5041 PLAIN VIEW HWY
SCOTLAND,LAURINBURG,SCOTLAND COUNTY ANNEX BUILDING CONFERENCE ROOM,231 E CRONLY ST
STANLY,LOCUST,LOCUST TOWN CENTER JOEL HONEYCUTT ROOM,186 RAY KENNEDY DR
STANLY,NEW LONDON,NEW LONDON COMMUNITY BUILDING,114 W GOLD ST
STANLY,NORWOOD,NORWOOD COMMUNITY BUILDING,247 W TURNER ST
STANLY,ALBEMARLE,STANLY COUNTY BOARD OF ELECTIONS OFFICE,1000 N FIRST ST # AUD
STOKES,KING,POPLAR SPRINGS CHURCH GYM,7120 NC 66 HWY S
STOKES,DANBURY,STOKES COUNTY BOARD OF ELECTIONS OFFICE,1012 MAIN ST
STOKES,WALNUT COVE,WILLOW OAK BAPTIST CHURCH GYM,4837 NC 89 HWY E
SURRY,ELKIN,ELKIN RESCUE SQUAD,940 N BRIDGE ST
SURRY,PILOT MOUNTAIN,PILOT MOUNTAIN TOWN HALL,124 W MAIN ST
SURRY,DOBSON,SURRY COUNTY BOARD OF ELECTIONS OFFICE,915 E ATKINS ST
SURRY,MOUNT AIRY,SURRY COUNTY RESOURCE CENTER,1218 STATE ST
SWAIN,CHEROKEE,BIRDTOWN RECREATION CENTER,1212 BIRDTOWN RD
SWAIN,BRYSON CITY,SWAIN COUNTY BOARD OF ELECTIONS OFFICE,1422 HWY 19 SOUTH
TRANSYLVANIA,BREVARD,OLD KMART (NEXT TO INGLES),686 N BROAD ST
TRANSYLVANIA,ROSMAN,ROSMAN TOWN HALL,6 MAIN ST
TYRRELL,COLUMBIA,TYRRELL COUNTY BOARD OF ELECTIONS OFFICE,403 MAIN ST
UNION,INDIAN TRAIL,HEMBY BRIDGE VFD,6628 MILL GROVE RD
UNION,WAXHAW,MARVIN RIDGE HIGH SCHOOL,2825 CRANE RD
UNION,MONROE,MINERAL SPRINGS VFD,5804 WAXHAW HWY
UNION,MONROE,MONROE HIGH SCHOOL,1 HIGH SCHOOL DR
UNION,WAXHAW,REA VIEW ELEMENTARY SCHOOL,320 REID DAIRY RD
UNION,INDIAN TRAIL,STALLINGS VFD,4616 OLD MONROE RD
UNION,WAXHAW,WESLEY CHAPEL VFD (MAIN),315 WAXHAW INDIAN TRAIL RD S
UNION,WINGATE,WINGATE COMMUNITY CENTER,315 W ELM ST
VANCE,HENDERSON,AYCOCK REC COMPLEX,307 CAREY CHAPEL RD
VANCE,HENDERSON,HENDERSON OPERATIONS CENTER,900 S BECKFORD DR
WAKE,RALEIGH,ABBOTT'S CREEK COMMUNITY CENTER,9950 DURANT RD
WAKE,APEX,AP - APEX COMMUNITY CENTER,53 HUNTER ST
WAKE,GARNER,AV - AVERY STREET RECREATION CENTER ANNEX,125 AVERY ST
WAKE,RALEIGH,BR - BARWELL ROAD COMMUNITY CENTER,5857 BARWELL PARK DR
WAKE,CARY,CA - HERBERT C YOUNG COMMUNITY CENTER,101 WILKINSON AVE
WAKE,RALEIGH,CM - WAKE COUNTY COMMONS BUILDING,4011 CARYA DR
WAKE,CARY,CS - CARY SENIOR CENTER,120 MAURY ODELL PL
WAKE,RALEIGH,GREEN ROAD COMMUNITY CENTER,4201 GREEN RD
WAKE,HOLLY SPRINGS,HS - HOLLY SPRINGS - HUNT COMMUNITY CENTER,301 STINSON AVE
WAKE,KNIGHTDALE,KD - KNIGHTDALE RECREATION CENTER,102 LAWSON RIDGE RD
WAKE,RALEIGH,LH - LAUREL HILLS COMMUNITY CENTER,3808 EDWARDS MILL RD
WAKE,RALEIGH,LL - LAKE LYNN COMMUNITY CENTER,7921 RAY RD
WAKE,WAKE FOREST,NR - NORTHERN REGIONAL CENTER,350 E HOLDING AVE
WAKE,RALEIGH,OP - OPTIMIST COMMUNITY CENTER,5900 WHITTIER DR
WAKE,RALEIGH,RB - ROBERTS COMMUNITY CENTER,1300 E MARTIN ST
WAKE,RALEIGH,TA - NCSU TALLEY STUDENT CENTER,2610 CATES AVE
WAKE,RALEIGH,WA - WAKE TECH COMMUNITY COLLEGE,9101 FAYETTEVILLE RD
WAKE,RALEIGH,WN - WAKE TECH COMMUNITY COLLEGE NORTH CAMPUS,6600 LOUISBURG RD # K
WAKE,FUQUAY VARINA,WO - W.O. COUNCIL GYM,106 N ENNIS ST
WAKE,ZEBULON,ZB - ZEBULON - EASTERN REGIONAL CENTER,1002 DOGWOOD DR
WARREN,MANSON,NORLINA VOLUNTEER FIRE DEPT-ANNEX BUIDLING,103 CENTER ST
WARREN,VAUGHAN,VAUGHAN ELEMENTARY SCHOOL,110 E HIGHWAY 158 BYP
WARREN,WARRENTON,WARREN COUNTY BOARD OF ELECTIONS OFFICE,309 N MAIN ST
WASHINGTON,PLYMOUTH,ROANOKE RIVER MARITIME MUSEUM,206 W WATER ST
WASHINGTON,ROPER,WASHINGTON COUNTY ROPER ANNEX,100 NC HWY 32 NCK
WATAUGA,BOONE,ASU STUDENT UNION,263 LOCUST ST
WATAUGA,BLOWING ROCK,BLOWING ROCK TOWN HALL,1036 MAIN ST
WATAUGA,DEEP GAP,DEEP GAP FIRE DEPT,6583 OLD 421 SOUTH
WATAUGA,BOONE,HIGH COUNTRY VACATION HOMES,520 CHURCH RD
WATAUGA,BOONE,WATAUGA COUNTY ADMINISTRATION BUILDING,814 W KING ST
WATAUGA,SUGAR GROVE,WESTERN WATAUGA COMM. CENTER,1081 OLD US HWY 421
WAYNE,GOLDSBORO,BEAR CREEK MISSIONARY BAPTIST ASSOCIATION,1800 S SLOCUMB ST
WAYNE,PIKEVILLE,HARMONY LODGE #340,108 SW RAILROAD ST
WAYNE,GOLDSBORO,LIBRARY,1001 E ASH ST
WAYNE,GOLDSBORO,MAXWELL CENTER,3114 WAYNE MEMORIAL DR
WAYNE,MT OLIVE,MOUNT OLIVE TRAIN DEPOT,110 W MAIN STREET
WILKES,NORTH WILKESBORO,EDWIN MCGEE NATURAL RESOURCE CENTER,928 FAIRPLAINS RD
WILKES,WILKESBORO,WILKESBORO CIVIC CENTER,1241 SCHOOL ST
WILSON,WILSON,COUNTY ADMIN BUILDING,2201 MILLER RD
WILSON,WILSON,WILSON COUNTY BOARD OF ELECTIONS OFFICE,112 DOUGLAS ST E
WILSON,WILSON,WILSON COUNTY RESCUE BUILDING,1902 TARBORO ST
YADKIN,YADKINVILLE,AGRICULTURAL AND EDUCATIONAL BUILDING,2051 AGRICULTURAL WAY
YANCEY,BURNSVILLE,YANCEY COUNTY BOARD OF ELECTIONS OFFICE,30 EAST US HWY 19E BY PASS # 2
